Day,Topic,Required_Action,Completed,Completion_Date,Primary_Source_Used,Questions_Identified,Professional_Review_Required,Notes
1,Financial foundation,Start Investment Policy Statement,,,,,,
2,Financial foundation,Calculate essential monthly expenses,,,,,,
3,Financial foundation,Define liquidity and risk limits,,,,,,
4,ETF fundamentals,Review ETF structure and terminology,,,,,,
5,ETF fundamentals,Review costs spreads and tracking,,,,,,
6,ETF fundamentals,Complete one ETF research template,,,,,,
7,Colombia investments,Review savings and CDTs,,,,,,
8,Colombia investments,Review bonds and collective funds,,,,,,
9,Colombia investments,Create hypothetical CDT ladder,,,,,,
10,Broker safety,Identify legal entities and regulators,,,,,,
11,Broker safety,Compare custody funding and fees,,,,,,
12,Broker safety,Complete broker comparison,,,,,,
13,Cross-border tax,Create financial account inventory,,,,,,
14,Cross-border tax,Identify US reporting questions,,,,,,
15,Cross-border tax,Identify Colombian reporting questions,,,,,,
16,ETF comparison,Research broad US equity ETF,,,,,,
17,ETF comparison,Research global and bond ETFs,,,,,,
18,ETF comparison,Complete screening and scoring,,,,,,
19,Property analysis,Select hypothetical distressed property,,,,,,
20,Property analysis,Complete title and possession review,,,,,,
21,Property analysis,Complete total-cost scenarios,,,,,,
22,Portfolio construction,Create paper portfolio,,,,,,
23,Portfolio construction,Review liquidity and concentration,,,,,,
24,Portfolio construction,Review currency allocation,,,,,,
25,Stress testing,Model equity decline,,,,,,
26,Stress testing,Model currency and rate changes,,,,,,
27,Stress testing,Model property and emergency scenarios,,,,,,
28,Fraud protection,Complete scam-risk scorecard,,,,,,
29,Fraud protection,Review account and family security,,,,,,
30,Final review,Complete readiness assessment,,,,,,
