Term_ID,Preferred_Term,Acronym,Category,Plain_Language_Definition,Technical_Notes,Related_Terms,Common_Confusion,Jurisdiction,Source_Type,Primary_Lesson,Definition_Status,Last_Review_Date,Next_Review_Date,Notes
001,Account consolidation,,General finance,Combining or closing financial accounts to reduce unnecessary complexity while preserving required protections and records.,May involve in-kind transfer or liquidation.,Financial simplification; account closure,Consolidation does not always mean moving everything to one institution.,General,Internal repository convention,Lesson 43,Reviewed,,,
002,Allocation drift,,Portfolio,The difference between a portfolio's current asset percentage and its approved target percentage.,Usually measured in percentage points.,Asset allocation; rebalancing,Drift is not the same as investment return.,General,General educational usage,Lesson 37,Reviewed,,,
003,Ask,,Investment execution,The lowest displayed price at which a seller is currently willing to sell.,Displayed quantity may be limited.,Bid; bid-ask spread,The ask is not a guaranteed execution price.,General,General educational usage,Lesson 36,Reviewed,,,
004,Basis point,bp,Performance,One hundredth of one percentage point.,100 basis points equals 1 percentage point.,Percentage point,Basis points are not full percentage points.,General,General educational usage,Lesson 29,Reviewed,,,
005,Benchmark,,Performance,A reference used to compare investment results or characteristics.,Should match asset type risk period and currency.,Relative return; blended benchmark,A benchmark is not automatically an investment recommendation.,General,General educational usage,Lesson 38,Reviewed,,,
006,Bid,,Investment execution,The highest displayed price at which a buyer is currently willing to buy.,Displayed quantity may be limited.,Ask; bid-ask spread,The bid is not a guaranteed sale price.,General,General educational usage,Lesson 36,Reviewed,,,
007,Bid-ask spread,,Investment execution,The difference between the displayed ask and bid prices.,A wider spread generally increases transaction cost.,Bid; ask; slippage,The spread is not the same as broker commission.,General,General educational usage,Lesson 36,Reviewed,,,
008,Capital expenditure,CapEx,Property,Spending that acquires improves or materially extends the useful life of an asset.,Tax and accounting treatment requires professional review.,Operating expense; renovation,Not every repair is a capital expenditure.,General,General educational usage,Lesson 24,Reviewed,,,
009,Certificate of term deposit,CDT,Fixed income,A deposit placed for a defined term under stated institutional conditions.,Commonly called a CDT in Colombia.,Fixed income; maturity; interest,A CDT is not automatically liquid before maturity.,Colombia,Institution and product specific,Lesson 6,Jurisdiction review required,,,
010,Compensating control,,Governance,An alternate control used when the standard control cannot be applied.,It should reduce the same material risk where practical.,Control; policy exception,A compensating control does not automatically make the risk acceptable.,General,Internal repository convention,Lesson 39,Reviewed,,,
011,Concentration,,Portfolio,Excessive exposure to one asset issuer institution country currency property or income source.,Limits should be defined in policy.,Diversification; asset allocation,Familiarity does not make concentration safe.,General,General educational usage,Lesson 3,Reviewed,,,
012,Conflict of interest,,Governance,A condition in which another interest may impair or appear to impair independent judgment.,Disclosure may not fully resolve the conflict.,Compensation; due diligence,A disclosed conflict may still be unacceptable.,General,General educational usage,Lesson 41,Reviewed,,,
013,Contingency,,Planning,Money time or capacity reserved for uncertainty and unexpected cost.,Should be based on project risk rather than an arbitrary percentage.,Reserve; renovation budget,Contingency is not discretionary spending.,General,Internal repository convention,Lesson 24,Reviewed,,,
